1,158
2,156
3,183
4,200
5,383
6,20
7,315
8,131
9,309
10,307
11,149
12,11
13,98
14,213
15,300
16,372
17,343
18,69
19,191
20,239
21,19
22,188
23,56
24,379
25,398
26,122
27,318
28,279
29,307
30,5
31,284
32,44
33,212
34,222
35,218
36,210
37,19
38,182
39,170
40,208
41,142
42,368
43,280
44,393
45,202
46,303
47,394
48,108
49,7
50,134
51,287
52,303
53,21
54,123
55,211
56,136
57,206
58,87
59,389
60,250
61,234
62,324
63,238
64,342
65,192
66,347
67,34
68,215
69,351
70,61
71,297
72,161
73,42
74,235
75,170
76,132
77,177
78,351
79,31
80,276
81,332
82,44
83,11
84,140
85,177
86,370
87,191
88,202
89,252
90,246
91,181
92,167
93,229
94,339
95,278
96,157
97,318
98,224
99,174
100,234
101,91
102,198
103,122
104,210
105,80
106,334
107,236
108,238
109,317
110,191
111,190
112,172
113,275
114,253
115,291
116,312
117,152
118,233
119,281
120,54
121,126
122,131
123,239
124,231
125,286
126,197
127,5
128,196
129,39
130,386
131,228
132,110
133,364
134,118
135,335
136,195
137,383
138,244
139,165
140,390
141,88
142,353
143,355
144,14
145,123
146,209
147,32
148,24
149,332
150,88
151,279
152,206
153,251
154,177
155,228
156,94
157,87
158,52
159,94
160,359
161,80
162,99
163,352
164,373
165,317
166,165
167,290
168,39
169,309
170,195
171,82
172,16
173,57
174,16
175,378
176,12
177,345
178,264
179,8
180,261
181,285
182,380
183,280
184,152
185,70
186,48
187,191
188,32
189,78
190,220
191,185
192,357
193,149
194,57
195,173
196,63
197,108
198,348
199,50
200,199
201,51
202,304
203,252
204,161
205,73
206,56
207,295
208,161
209,192
210,313
211,99
212,0
213,45
214,271
215,73
216,189
217,328
218,255
219,128
220,243
221,32
222,310
223,276
224,169
225,198
226,280
227,131
228,87
229,177
230,59
231,143
232,19
233,167
234,358
235,47
236,8
237,395
238,258
239,24
240,229
241,74
242,279
243,350
244,396
245,328
246,274
247,21
248,349
249,144
250,186
251,307
252,223
253,142
254,350
255,349
256,155
257,243
258,81
259,192
260,100
261,120
262,15
263,142
264,299
265,296
266,121
267,42
268,337
269,272
270,211
271,164
272,328
273,62
274,15
275,357
276,92
277,391
278,112
279,1
280,31
281,373
282,334
283,210
284,373
285,373
286,286
287,182
288,382
289,25
290,284
291,324
292,137
293,104
294,29
295,178
296,355
297,221
298,97
299,40
300,205
301,328
302,275
303,317
304,39
305,209
306,287
307,101
308,265
309,295
310,111
311,73
312,84
313,331
